id,months_on_book,status,dpd,payment_amount
100001,1,On-time,1,36350
100001,2,On-time,3,13634
100001,3,On-time,5,26730
100001,4,On-time,4,16558
100001,5,On-time,8,15801
100001,6,On-time,4,39361
100001,7,On-time,3,28539
100001,8,On-time,1,57795
100001,9,On-time,2,1784
100001,10,On-time,5,39834
100001,11,On-time,2,45025
100001,12,On-time,6,62645
100001,13,On-time,3,42486
100001,14,On-time,5,20158
100001,15,On-time,2,29943
100001,16,On-time,2,5472
100001,17,On-time,5,27667
100001,18,On-time,5,15179
100001,19,On-time,4,45841
100001,20,On-time,4,31019
100001,21,On-time,0,27204
100001,22,On-time,3,38381
100001,23,On-time,4,33448
100001,24,On-time,4,15878
100001,25,On-time,4,11828
100001,26,On-time,4,57381
100001,27,On-time,0,26232
100001,28,On-time,6,19173
100001,29,On-time,4,11873
100001,30,On-time,1,53163
100001,31,On-time,2,7220
100001,32,On-time,2,60615
100001,33,On-time,1,51807
100001,34,On-time,3,53440
100001,35,On-time,5,6653
100001,36,On-time,3,7726
100001,37,On-time,5,4476
100001,38,On-time,0,39519
100001,39,On-time,6,37767
100001,40,On-time,2,20797
100001,41,On-time,4,18087
100001,42,On-time,3,19706
100002,1,On-time,2,10492
100002,2,On-time,4,35753
100002,3,On-time,3,62592
100002,4,On-time,5,28505
100002,5,On-time,5,53475
100002,6,On-time,2,51324
100002,7,On-time,0,13666
100002,8,On-time,1,29565
100002,9,On-time,3,55074
100002,10,On-time,2,19298
100002,11,On-time,5,62212
100002,12,On-time,2,30801
100002,13,On-time,2,56767
100002,14,On-time,5,5394
100002,15,On-time,7,5346
100002,16,On-time,4,15981
100003,1,On-time,5,33705
100003,2,On-time,2,26069
100003,3,On-time,6,8568
100003,4,On-time,2,8057
100003,5,On-time,1,37598
100003,6,On-time,1,40290
100003,7,On-time,8,46911
100003,8,On-time,5,36326
100003,9,On-time,4,64379
100003,10,On-time,1,23574
100003,11,On-time,6,62165
100003,12,On-time,1,23655
100003,13,On-time,5,52522
100003,14,On-time,2,37889
100003,15,On-time,6,43605
100003,16,On-time,3,38259
100003,17,On-time,6,32284
100003,18,On-time,3,33901
100003,19,On-time,6,13065
100003,20,On-time,5,26200
100003,21,On-time,1,42771
100003,22,On-time,3,51426
100003,23,On-time,3,16837
100003,24,On-time,2,12612
100003,25,On-time,4,15261
100003,26,On-time,2,44291
100003,27,On-time,4,10385
100003,28,On-time,4,55930
100003,29,On-time,0,2876
100003,30,On-time,4,7439
100003,31,On-time,2,43449
100003,32,On-time,3,4346
100003,33,On-time,3,8317
