timestamp,junction_location,day_of_week,hour,road_type,number_of_lanes,traffic_signals_count,large_vehicles_count,temperature,humidity,rainfall,weather_conditions,nearby_landmarks,event_indicator,traffic_demand
2026-01-01 06:00:00,Highway_Entry,Thursday,6,Residential,1,4,11,32.24,84.85,0.2,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",1,1,2660
2026-01-01 01:00:00,Highway_Entry,Thursday,1,Urban,2,2,9,29.59,65.63,0.0,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",5,0,1972
2026-01-01 14:00:00,Metro_Road,Saturday,14,Commercial,2,1,13,41.8,67.91,1.12,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",3,0,3116
2026-01-01 11:00:00,Metro_Road,Friday,11,Highway,3,1,26,23.49,44.1,0.0,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",3,0,2834
2026-01-01 01:00:00,School_Zone,Tuesday,1,Commercial,1,4,9,32.69,64.57,0.26,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",1,0,2159
2026-01-01 12:00:00,Highway_Entry,Monday,12,Residential,1,2,12,31.1,33.86,0.0,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",4,0,1729
2026-01-01 09:00:00,Junction_B,Sunday,9,Urban,4,4,12,24.52,60.32,0.0,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",0,0,3864
2026-01-01 02:00:00,Highway_Entry,Monday,2,Highway,2,3,18,28.59,50.3,1.49,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",3,0,2262
2026-01-01 03:00:00,Highway_Entry,Saturday,3,Residential,4,2,13,33.36,96.31,3.43,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",3,0,2545
2026-01-01 10:00:00,Market_Street,Tuesday,10,Urban,5,0,8,22.01,51.47,0.67,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",5,0,4131
2026-01-01 04:00:00,Metro_Road,Monday,4,Highway,3,0,23,31.26,59.51,0.0,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",3,0,2705
2026-01-01 16:00:00,Junction_A,Friday,16,Commercial,1,4,8,20.63,63.54,0.0,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",4,0,2566
2026-01-01 11:00:00,School_Zone,Tuesday,11,Commercial,2,4,11,25.19,64.53,0.0,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",0,0,2378
2026-01-01 15:00:00,Metro_Road,Friday,15,Commercial,5,3,11,23.01,45.55,0.0,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",1,0,3210
2026-01-01 07:00:00,Metro_Road,Monday,7,Commercial,4,3,10,24.81,72.16,0.0,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",5,0,3240
2026-01-01 02:00:00,Metro_Road,Wednesday,2,Commercial,2,3,15,34.95,65.76,0.0,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",5,1,4037
2026-01-01 02:00:00,Highway_Entry,Monday,2,Highway,4,0,20,29.87,43.75,0.0,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",3,0,2881
2026-01-01 02:00:00,Junction_A,Monday,2,Commercial,2,4,9,25.33,58.32,0.0,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",0,0,2121
2026-01-01 04:00:00,Highway_Entry,Thursday,4,Commercial,6,4,14,23.65,69.24,0.0,"['Clear', 'Cloudy', 'Rainy', 'Foggy']",4,0,3787
